Category,Topic,Ranking
Moving in the white water,Grab the board with both hands on the tail, when walking outside
Moving in the white water,Keep the tail turned to the waves when walking outside
Moving in the white water,Keep the tail turned to the waves when waiting for a wave
Moving in the white water,Lift the board over the small waves
Moving in the white water,Sink the tail of the board, and then the body, if the wave is bigger
Moving in the white water,Wait 5-10 meters before the impact zone, with water at waist high
Moving in the white water,Choose the wave with enough time/distance before laying down on the board
Catching the wave,Lay down in the correct position on the board
Catching the wave,Keep the nose pointing to the beach
Catching the wave,Paddle with long and deep strokes, along the rails
Catching the wave,Keep the body and board stable while paddling, with the legs still and together
Catching the wave,Keep the chin up and look over the shoulders to check the wave behind
Catching the wave,Start to paddle at least 5m before the wave hits the board
Catching the wave,Paddle 3 stronger and faster strokes, after the wave hits the board
Catching the wave,Put the hands next to the chest
Catching the wave,Pause and breathe before iniciating the steps
Standing up (3 steps),Look straight in front during all the steps
Standing up (3 steps),Stretch and lock the arms
Standing up (3 steps),Keep the lower part of the body down and relaxed
Standing up (3 steps),Unlock the arms
Standing up (3 steps),Twist the shoulders and roll the hip, maintaining the board balanced
Standing up (3 steps),Keep the feet relaxed
Standing up (3 steps),Touch with the heel of the back foot on the upper part of the knee of the other leg
Standing up (3 steps),Keep the heel of the back foot on the board, knee pointing up
Standing up (3 steps),Put the back foot at an angle of 90° to the board
Standing up (3 steps),Don´t lift the back foot heel and keep the front knee straight, while moving the front foot outside the board
Standing up (3 steps),Pass the front foot below the body, with the knee between the arms
Standing up (3 steps),Put the front foot in the middle of the board, in between the hands, at a 45º angle
Standing up (3 steps),Push the lower body down to the centre and rise with the legs
Standing up (3 steps),Keep the back knee inside
Standing up (3 steps),Knees, hip and shoulders pointing at 45º
Standing up (3 steps),Legs and upper body slightly bent
Standing up (3 steps),Front arm pointing forward
Standing up (3 steps),Back arm high, away from the body and at head level
Standing up (3 steps),The body is relaxed when standing on the board
Safety,Hold the board next to the body, never in between me and the waves
Safety,Never grab the leash
Safety,Never stay behind anyone
Safety,Never let go the board
Safety,When falling, fall with control to land safely in the water
Safety,Never dive head first
Safety,Protect the head after falling
Safety,Never turn the back to the waves
